Source 0 merges in segment 1
Source 1 merges in segment 3
Source 2 merges in segment 4
Source 3 merges in segment 4
Source 4 merges in segment 4
Source 5 merges in segment 4
Source 6 merges in segment 5
Source 7 merges in segment 6
Source 8 merges in segment 6
Source 9 merges in segment 6
Source 10 merges in segment 7
Source 11 merges in segment 7
Source 12 merges in segment 7
Source 13 merges in segment 8
Source 14 merges in segment 8
Source 15 merges in segment 9
Source 16 merges in segment 9
Source 17 merges in segment 10
Source 18 merges in segment 11
Source 19 merges in segment 11
